source_path,purpose,source_size_px,alpha_channel,perspective_or_view,support_point,estimated_pivot,direct_use,needed_work,sha256
README.md,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
apple/characters/heroine-original-concept.png,Source artwork or metadata file; see filename and source manifest.,1024x1536,YES,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,1690e852f3a50fe190d0f5e4c31dc784a6c9351b5e396590db0548ca7adf92d7
apple/characters/queen-original-concept.png,Source artwork or metadata file; see filename and source manifest.,1024x1536,YES,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,c3a324b649b410e45c7c6deb8b40e0f70e2d48ad87aa7c5e1828c66f6c0fefac
apple/objects/apple-bitten.png,Apple Fortune whole/bitten result fruit.,1335x1178,YES,"Glossy stylized 3D fruit, near-front three-quarter.",No ground plane; bottom-center resting point.,"Fruit center approx (0.50, 0.50); bottom point approx (0.50, 0.90).",YES as isolated result object after tile scaling.,Shadow is not separate; match crop/scale between variants in runtime.,39ca1bbb3d17860cbd5a286b3f39cfe7878f4cab4f62e8cd90921ce9bf86ce36
apple/objects/apple-whole.png,Apple Fortune whole/bitten result fruit.,1335x1178,YES,"Glossy stylized 3D fruit, near-front three-quarter.",No ground plane; bottom-center resting point.,"Fruit center approx (0.50, 0.50); bottom point approx (0.50, 0.90).",YES as isolated result object after tile scaling.,Shadow is not separate; match crop/scale between variants in runtime.,311ddcce44940cb6f20c9430097762680f1bf225e5382c4cb476f511a2565e86
apple/reference-scene.png,Source artwork or metadata file; see filename and source manifest.,1835x840,YES,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,480b601c75c1256c6560db570638b0232ec344da03a2c8799edb73950b97521d
apple/tiles/closed-wooden-board-tile-reconstruction.png,Reconstructed blank wooden tile.,1774x887,YES,Near-front rectangular slab with shallow perspective.,Tile sits flat; cell center is preferred anchor.,"(0.50, 0.50) as board-cell tile; edge joins not validated.",CONDITIONAL — responsive board fit required.,Single reconstructed tile; no pressed/open states or separate frame pieces.,64c3f5375687635cfc74c8b0d3cee73f82ae86e292a30199dec7a94e2c4b0df6
asset-manifest.json,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
aviator/animations/frames/propeller-spin/frame-00.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,591bbf8299cf6db4732ebd2a6da7fe22882bc25ad97f7ad2cbccba0aa6725639
aviator/animations/frames/propeller-spin/frame-01.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,e14daf1281ffe0dfd22f71d297a54bff5e69b0ec78e842b8c95edc5b6d9425e2
aviator/animations/frames/propeller-spin/frame-02.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,3d805959705936ed21dcdb39db3f1d4e2ef6bb7dabcac8707f89cbd6846b0a0f
aviator/animations/frames/propeller-spin/frame-03.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,b68da4e04cb5c44e3b70a388feeb28039a42e818e0bf11130b7229acf9d9f72a
aviator/animations/frames/propeller-spin/frame-04.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,b10db8418c0a0e0b7adabe1560befa2e445bc5209f782bbdd3846f0d2c141f29
aviator/animations/frames/propeller-spin/frame-05.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,b041fca8f151e70758a6697c70066d940a027218be7fff07e962e1d38eefdad9
